drop,network_model,avg_k,var_k,avg_cc,var_cc,avg_spl,shannon_entr
42,spatial_voronoi,5.924,1.7862240000000003,0.4391731601731601,0.017442081068362456,8.163528000000003,2.4212357119845462
43,spatial_voronoi,5.944,1.6888640000000001,0.4345174603174603,0.015054982323003273,7.70159199999999,2.387330722029343
44,spatial_voronoi,5.92,1.7855999999999999,0.43888095238095237,0.017043208553791885,8.131855999999999,2.430989269898002
45,spatial_voronoi,5.928,1.838816,0.43850331890331895,0.016864401725271684,7.908055999999996,2.449170672499012
46,spatial_voronoi,5.928,1.8588159999999998,0.4407033189033189,0.0184040171145385,7.913480000000002,2.4680853270921617
47,spatial_voronoi,5.908,1.623536,0.4350984126984127,0.014504228914084151,8.376576000000005,2.357974976487584
48,spatial_voronoi,5.916,1.708944,0.4392033189033189,0.017256473443130544,8.258224000000002,2.4099245225112007
49,spatial_voronoi,5.928,1.826816,0.4409939393939394,0.01823724953630304,7.98948,2.437910267779192
50,spatial_voronoi,5.94,2.0484,0.4455998556998557,0.021161305269787132,7.781831999999996,2.534035762758606
51,spatial_voronoi,5.928,1.950816,0.44015887445887447,0.01715621165060208,7.8222159999999965,2.4698891856978915
52,spatial_voronoi,5.924,1.8262239999999998,0.4430587301587302,0.01973318057697153,8.140319999999997,2.4630699450859215
53,spatial_voronoi,5.936,1.907904,0.44188888888888883,0.018766069286974052,7.765783999999997,2.4753029940773454
54,spatial_voronoi,5.928,1.9148160000000003,0.4428698412698413,0.01921979323759133,8.006616,2.486226708253389
55,spatial_voronoi,5.936,1.9439040000000003,0.44339999999999996,0.019893630728143107,8.005672,2.4827833357481217
56,spatial_voronoi,5.92,1.8255999999999997,0.4404128427128427,0.017973186633996115,8.226872000000007,2.4456011184162763
57,spatial_voronoi,5.928,1.778816,0.43454920634920635,0.014418045462333079,7.962751999999991,2.381754656467338
58,spatial_voronoi,5.924,1.8862239999999997,0.4398112554112554,0.017071220415576085,8.157927999999998,2.439932662926268
59,spatial_voronoi,5.936,1.699904,0.43827301587301587,0.01738698527588813,7.8279200000000015,2.409343595970053
60,spatial_voronoi,5.932,1.859376,0.43797777777777774,0.016604831252204588,7.898991999999997,2.446966701872961
61,spatial_voronoi,5.936,1.8519040000000002,0.4395666666666667,0.017697559009826152,7.897928000000007,2.4581514018007007
62,spatial_radius,4.612244897959184,4.400666389004582,0.5917881438289602,0.08458163139382276,8.728654727197002,2.9895394640908326
63,spatial_radius,3.9899497487437188,3.1355773844094843,0.5500877402887453,0.10246769108783776,14.236105148859878,2.7529214168428124
64,spatial_radius,4.054545454545455,3.506115702479339,0.4656493506493506,0.09374473913532354,8.753719008264463,2.864269185818096
65,spatial_radius,5.205673758865248,6.631457170162467,0.5778574065808108,0.07495044801132891,12.216588702781548,3.2760081096691085
66,spatial_radius,4.155642023346304,3.5088494905297583,0.5207522697795071,0.09553581203089254,21.02284667443867,2.8885468954009723
67,spatial_radius,4.15625,2.8193359375,0.54296875,0.08211104550869827,7.02294921875,2.726966807228053
68,spatial_radius,4.045454545454546,2.53202479338843,0.495995670995671,0.07372694360113191,14.650568181818182,2.674448429000287
69,spatial_radius,5.015384615384615,4.384378698224852,0.5942735042735042,0.07005059387770012,11.660118343195263,3.048268301743485
70,spatial_radius,3.8943396226415095,2.6227981488074046,0.5461545372866128,0.10196240832633041,18.33409754360982,2.6868521628644033
71,spatial_radius,4.610526315789474,3.1009418282548475,0.5209022556390978,0.05176490976815472,8.264376731301944,2.748851018920351
72,spatial_radius,4.543689320388349,4.257799981148081,0.5466597318539066,0.08375559256651623,15.214629088509758,2.9591715276005464
73,spatial_radius,4.217054263565892,4.999399074574845,0.5194489188675235,0.09406266981375326,17.73526230394808,2.989993779488284
74,spatial_radius,4.020833333333333,2.2912326388888893,0.5528273809523809,0.07529718354355631,8.327039930555555,2.6240949324590264
75,spatial_radius,4.227544910179641,3.7206784036716987,0.5739283338085733,0.08856282618996712,12.99566137186705,2.92375945297659
76,spatial_radius,3.8620689655172415,2.693618707887435,0.5155993431855501,0.08729178182040419,9.381159994715288,2.63506232954424
77,spatial_radius,3.719298245614035,2.5527854724530625,0.5104010025062656,0.10457356318951097,11.312865497076023,2.6087670034686963
78,spatial_radius,3.5733333333333333,1.9646222222222225,0.5267142857142857,0.09887156991685563,14.140977777777767,2.482515907536291
79,spatial_radius,3.7,2.6099999999999994,0.46997619047619055,0.12205577040816327,9.8606,2.6160733206847135
80,spatial_radius,4.542056074766355,3.3697266136780506,0.5832591603619641,0.07872942327230288,9.70862084024806,2.837108941780528
