database_name;docf;hidden_channels;num_layers;p_dropout;loss_function;version;loss_test;micro_test;acc_test;epoch_convergence
20ng;merge;100;2;0,2;fl;1;0,48447367548942566;0,7984890445967022;0,7989720159908623;291
20ng;merge;100;3;0,0;ce;1;0,7019233703613281;0,8018737557417426;0,8023986293546544;393
20ng;merge;100;3;0,0;fl;1;0,48080000281333923;0,7979700699708878;0,797829811536265;309
20ng;merge;100;3;0,2;ce;1;0,7724296450614929;0,80184372122477;0,8012564249000571;986
20ng;merge;100;3;0,2;fl;1;0,5148191452026367;0,8011006017458228;0,8018275271273558;893
20ng;merge;100;4;0,0;ce;1;0,7239788770675659;0,801651895692666;0,8018275271273558;387
20ng;merge;100;4;0,0;fl;1;0,4937877357006073;0,8005603329328129;0,8012564249000571;426
20ng;merge;100;4;0,2;ce;1;0,7570688724517822;0,8036582469244534;0,8041119360365505;877
20ng;merge;100;4;0,2;fl;1;0,5030878186225891;0,801878851245864;0,8023986293546544;467
bbc;None;20;2;0,0;ce;1;0,2874045968055725;0,9630269447515948;0,9629213483146067;285
bbc;None;20;2;0,0;fl;1;0,10383711755275726;0,9672859377711936;0,9674157303370786;702
bbc;None;20;2;0,2;ce;1;0,15944136679172516;0,9585763683304784;0,9584269662921349;936
bbc;None;20;2;0,2;fl;1;0,14568130671977997;0,938784428346269;0,9393258426966292;719
bbc;None;20;3;0,0;ce;1;0,27448391914367676;0,9318221876938362;0,9314606741573034;253
bbc;None;20;3;0,0;fl;1;0,07241354882717133;0,9640620211690685;0,9640449438202248;1484
bbc;None;20;3;0,2;ce;1;0,2361832708120346;0,9504937624394856;0,950561797752809;801
bbc;None;20;3;0,2;fl;1;0,12512072920799255;0,9527080975826953;0,952808988764045;1224
bbc;None;20;4;0,0;ce;1;0,23930306732654572;0,9290367990636641;0,9269662921348315;299
bbc;None;20;4;0,0;fl;1;0,14942693710327148;0,9365230223958567;0,9370786516853933;526
bbc;None;20;4;0,2;ce;1;0,3304491937160492;0,9416118437113868;0,9415730337078652;1435
bbc;None;20;4;0,2;fl;1;0,14778567850589752;0,9493120391093349;0,949438202247191;790
bbc;None;40;2;0,0;ce;1;0,5441053509712219;0,9696998991813058;0,9696629213483146;93
bbc;None;40;2;0,0;fl;1;0,08097584545612335;0,9685175697336866;0,9685393258426966;1499
bbc;None;40;2;0,2;ce;1;0,16430629789829254;0,9585471162396599;0,9584269662921349;746
bbc;None;40;2;0,2;fl;1;0,11665116250514984;0,9572536310611062;0,9573033707865168;369
bbc;None;40;3;0,0;ce;1;0,13573934137821198;0,9541729160870648;0,9539325842696629;1499
bbc;None;40;3;0,0;fl;1;0,21274489164352417;0,962907030495124;0,9629213483146067;83
bbc;None;40;3;0,2;ce;1;0,18735238909721375;0,9574056108048007;0,9573033707865168;1106
bbc;None;40;3;0,2;fl;1;0,08847813308238983;0,9629358812984399;0,9629213483146067;1336
